trait_Zodiac,token_id,trait_Nose,trait_Eyes,trait_Body,trait_Head,trait_Mouth,trait_Sign,trait_Matching Set,trait_Totem,rarity_score
Nail,7815,Sticked,Cry,Army,Sailor,Microphone,Sign,-1,-1,353.4439158266251
Spider,2236,Plagued,Sporty,Blooded,Bold,Rolling stone,Sign,-1,-1,352.8291490495137
Hoock,3398,Plaster,Sporty,Haminguay,Sailor,Shark,Sign,-1,-1,352.8164763643956
Cockroach,3565,David,Sporty,Rotten,Bold,Leo,Sign,-1,-1,351.99470632796965
Nail,5577,David,Cyber,Cuted,Bold,Microphone,Sign,-1,-1,351.36747110075584
Rottenbottle,584,Jerry,Stringed,Boned,Malett,Eye,Sign,-1,-1,351.32821431182646
Worm,230,Jerry,Hypnotic,Boned,Malett,Football,Sign,-1,-1,351.22881288404494
Iguana,4798,Ruffo,Sporty,Doctor,Can,Rolling stone,Sign,-1,-1,350.9848866157833
Deadcop,2416,Plagued,Ping,Mario,Buddha,Microphone,Sign,-1,-1,349.85817160660093
Deadcop,111,Beated,Bushes,Boobs,Gman,Tripple,Sign,-1,-1,349.73346379712603
Hoock,5178,Beated,Sporty,Haminguay,Cap,Leo,Sign,-1,-1,349.62835788099085
Therapist,5018,Teenager,Rage,Hoodie,Cap,Microphone,Sign,-1,-1,349.23064010597767
Worm,1879,Alex,Comix,Army,Bra,Orc,Sign,-1,-1,349.01068884577364
Iguana,4970,Devil,Cyber,Golden,Gman,Microphone,Sign,-1,-1,348.6221759441489
Spider,3997,Devil,Sporty,Blooded,Goblin,Rolling stone,Sign,-1,-1,348.6134518533015
Cockroach,2292,Ruffo,Lens,Army,Babylon,Microphone,Sign,-1,-1,348.5002849593472
Mapcross,3665,Booger,Rage,Blooded,Beaten,Microphone,Sign,-1,-1,348.1951033181167
Nail,4526,Stop,Plasted,Doctor,Babylon,Clown,Sign,-1,-1,347.80617443904094
Deadcop,496,Zigzag,Lens,Mario,Bra,Chappy,Sign,-1,-1,347.72992035265156
Poisoned,1089,Plastered,Plasted,Cuted,Can,Vampire,Sign,-1,-1,347.6858450334773
Exwife,4951,Pierced,Feelings,Meat,Can,Texting,Sign,-1,-1,347.628718412615
Plastico,6156,Hairy,Lens,Boobs,Cap,Tripple,Sign,-1,-1,346.1050502697064
Plastico,7349,Pierced,Cry,Hoodie,Bra,Cat,Sign,-1,-1,345.7889208232157
Halfburger,6882,Beated,Plasted,Snake,Beaten,Football,Sign,-1,-1,345.5790518757696
Worm,1431,Bigppig,Cyber,Shirt,Bra,Lui,Sign,-1,-1,345.33799195181905
Worm,7333,Pierced,Sporty,Golden,Malett,Leo,Sign,-1,-1,345.2139532188638
Deadcop,428,Hairy,Comix,Cuted,Star,Disgust,Sign,-1,-1,344.52859464043394
Worm,2165,Bushes,Sleepy,Blooded,Nipple,Microphone,Sign,-1,-1,344.4368502995168
Therapist,821,Hole,Plasted,Magnum,Punk,Texas,Sign,-1,-1,344.416935287745
Rottenbottle,7712,Plastered,Shop,Golden,Babylon,Stickered,Sign,-1,-1,343.9197462622118
Spider,1852,Pinoccio,Stringed,Hooligan,Hugo,Microphone,Sign,-1,-1,342.99242557920144
Oldporn,5908,Stop,Dots,Cuted,Punk,Chi,Sign,-1,-1,342.504796455988
Rottenbottle,3592,Alex,Stringed,Shirt,Bra,Disgust,Sign,-1,-1,341.2428559212256
Plastico,3771,Plagued,Stringed,Haminguay,Beaten,Microphone,Sign,-1,-1,340.32794834932196
Oldporn,6942,David,Sporty,Blooded,Sailor,Lui,Sign,-1,-1,340.23880034553076
Overconsume,758,Worm,Lens,Chair,Nipple,Vampire,Sign,-1,-1,340.0471495726075
Deadcop,5917,Plastered,Sporty,Golden,Gman,Yakubovich,Sign,-1,-1,339.82545899428425
Exwife,6801,Bull,Mutated,Hoodie,Bra,Pierced,Sign,-1,-1,339.644267471484
Plastico,5336,Devil,Coolglasses,Leopard,Bra,Teethy,Sign,-1,-1,338.74344987775095
Nail,485,Pierced,Sleepy,Army,Bra,Bender,Sign,-1,-1,338.5914648908994
